 Excitation   ExcitLevel   Seniority    Walkers    Amplitude    Init?   Proc
0110001000000000000000000100000000000000    2    4   -159.6211      0.00735  Y     56
0110000000000000000100100000000000000000    2    4    159.1585      0.00733  Y      7
1001000010000000000100000000000000000000    2    4    159.0457      0.00732  Y      4
1100000000000000000000000011000000000000    2    0   -157.9212      0.00727  Y     44
0000110000000000110000000000000000000000    4    0    157.8342      0.00727  Y     15
1100000000010000000000001000000000000000    2    2   -156.9023      0.00722  Y     18
1100000000100000000000000100000000000000    2    2    156.5115      0.00720  Y      8
1001000100000000000000001000000000000000    2    4   -152.5502      0.00702  Y     34
0100110000000000001000000000000000000000    3    2    150.7354      0.00694  Y     51
1100000000000000000000110000000000000000    2    0   -147.2521      0.00678  Y     23
1000010110000000000000000000000000000000    3    4   -147.0034      0.00677  Y     42
0011000000000000000000110000000000000000    2    0   -146.5626      0.00675  Y      8
1001000000000000010000000000000010000000    2    4   -144.0334      0.00663  Y     22
0101001000100000000000000000000000000000    2    4    143.9644      0.00663  Y     40
0011000000001000000100000000000000000000    2    2    143.3022      0.00660  Y     15
0110000000000000100000000000000001000000    2    4   -143.1609      0.00659  Y     42
0000110000000000000011000000000000000000    4    0    142.3997      0.00656  Y      6
1010000100010000000000000000000000000000    2    4    139.8331      0.00644  Y     30
0110000001000000001000000000000000000000    2    4    139.2045      0.00641  Y     25
1001000000000100000000100000000000000000    2    4    132.9814      0.00612  Y     51
1001000000000000000010000001000000000000    2    4    130.6075      0.00601  Y      1
1001000000000000001000010000000000000000    2    4    130.5633      0.00601  Y     10
0100100010000001000000000000000000000000    3    4    130.1794      0.00599  Y     20
0011000000000000000000000011000000000000    2    0   -124.2514      0.00572  Y     51
0011000000000100001000000000000000000000    2    2   -123.7160      0.00570  Y     56
0000110000000000001100000000000000000000    4    0    123.2777      0.00567  Y     11
0011000000000000000000001100000000000000    2    0   -122.9875      0.00566  Y     27
0000001100110000000000000000000000000000    4    0    120.2258      0.00553  Y     54
0110000000000000000001000010000000000000    2    4    119.4379      0.00550  Y     31
1100000000000100100000000000000000000000    2    2    117.7244      0.00542  Y     39
0110000000001000000000010000000000000000    2    4    117.6937      0.00542  Y     30
0100011010000000000000000000000000000000    3    4   -117.5216      0.00541  Y     48
1100000000001000010000000000000000000000    2    2   -117.1592      0.00539  Y     60
1000010001000010000000000000000000000000    3    4    115.6276      0.00532  Y     43
0000010000100011000000000000000000000000    4    2    115.0150      0.00529  Y     11
1010000000010001000000000000000000000000    2    4    114.4282      0.00527  Y     52
1100000000000000000011000000000000000000    2    0   -110.3046      0.00508  Y     41
0010000101000010000000000000000000000000    3    4   -109.1224      0.00502  Y     22
1000100000010000000100000000000000000000    3    4    108.8954      0.00501  Y     40
0110000000000010000000000100000000000000    2    4    108.7658      0.00501  Y     32
0000100000010011000000000000000000000000    4    2   -107.4614      0.00495  Y     19
0110100000000000000000000000000000000001    2    4    106.8054      0.00492  Y      7
