nodes' data
i      configuration       h_ii      ci
37  0011000000000011000000000000000000000000  -1.9660755606332407  0.02045
38  0111000000001000000000000000000000000000  -2.98011860615855  0.0203
39  1110000000000000000000010000000000000000  -2.3929066662491936  0.01903
40  1101000000000000000000100000000000000000  -2.392906666249193  0.01903
41  0000101100010000000000000000000000000000  -2.2314305461139012  0.01884
42  0011000000110000000000000000000000000000  -2.0781965229114547  0.01877
43  0000011100100000000000000000000000000000  -2.2314305461139017  0.01809
44  1001000000100001000000000000000000000000  -2.2465394606789957  0.01706
45  1100100000000000000000000100000000000000  -2.324615072752158  0.01702
46  0110000000010010000000000000000000000000  -2.2465394606789957  0.01654
47  1100010000000000000000001000000000000000  -2.3246150727521586  0.01645
48  0000110000000011000000000000000000000000  -1.8716271261258304  0.01581
49  1100000011000000000000000000000000000000  -2.531757326788197  0.01542
50  1100000000110000000000000000000000000000  -2.4843463279799467  0.01456
51  1100000000000011000000000000000000000000  -2.3672123796359332  0.01419
52  0111000000000000001000000000000000000000  -2.3488656407509514  0.01414
53  1011000000000000000100000000000000000000  -2.348865640750951  0.01411
54  0011000000001100000000000000000000000000  -2.056295111534499  0.01402
55  0110000001001000000000000000000000000000  -2.3008524588812542  0.014
56  1001000010000100000000000000000000000000  -2.3008524588812542  0.01386
57  1000011001000000000000000000000000000000  -2.698722115640245  0.01216
58  0011000000000000110000000000000000000000  -0.9624550631643656  0.01157
59  0100100110000000000000000000000000000000  -2.698722115640245  0.01152
60  1000110000000100000000000000000000000000  -2.888203810602885  0.01143
61  0110000010000100000000000000000000000000  -2.3231179603064733  0.01121
62  1001000001001000000000000000000000000000  -2.3231179603064733  0.01119
63  0100110000001000000000000000000000000000  -2.888203810602885  0.01117
64  0011000011000000000000000000000000000000  -2.1229043044092824  0.01047
65  0011000000000000001100000000000000000000  -0.7963622121400027  0.01034
66  0011000000000000000011000000000000000000  -0.5826359494976923  0.01005
67  0000100100010010000000000000000000000000  -1.7314061083611714  0.00933
68  0000011000100001000000000000000000000000  -1.7314061083611714  0.00907
69  1100000000000000110000000000000000000000  -1.3228062816053403  0.00888
70  1001000000000000000001000010000000000000  -0.6120883940487469  0.00885
71  0110000000000000000010000001000000000000  -0.6120883940487469  0.0088
72  0000110011000000000000000000000000000000  -2.0290100272648424  0.00851
73  0010110001000000000000000000000000000000  -2.685589507921016  0.00831
74  1100000000001100000000000000000000000000  -2.4732061796015845  0.00817
75  0001110010000000000000000000000000000000  -2.6855895079210166  0.00816
76  0000101000010001000000000000000000000000  -1.8317098636943447  0.00798
77  0000010100100010000000000000000000000000  -1.8317098636943447  0.00792
78  0000110000001100000000000000000000000000  -1.9638334764692176  0.00774
79  1100010000000000000000000000000000001000  -1.5644388599052372  0.00773
80  0010001101000000000000000000000000000000  -2.2980787356838785  0.00771
81  1100100000000000000000000000000000000100  -1.5644388599052372  0.00763
82  0110000000000000001000010000000000000000  -0.8456679361186539  0.00759
83  0001001110000000000000000000000000000000  -2.2980787356838785  0.00758
84  1001000000000000000100100000000000000000  -0.8456679361186539  0.00754
85  1000110000000000000100000000000000000000  -2.285020480160751  0.00754
86  1100000001000000000000100000000000000000  -1.745621246278485  0.00751
87  1100000010000000000000010000000000000000  -1.745621246278485  0.00748
88  0101000010000000100000000000000000000000  -1.8133058698028646  0.00742
89  0100101001000000000000000000000000000000  -2.7461841205180986  0.00742
90  1010000001000000010000000000000000000000  -1.8133058698028646  0.00736
91  0110001000000000000000000100000000000000  -1.9580517228443095  0.00735
92  0110000000000000000100100000000000000000  -0.8637203020879944  0.00733
93  1001000010000000000100000000000000000000  -1.697378112968131  0.00732
94  1100000000000000000000000011000000000000  -0.6263940059543476  0.00727
95  0000110000000000110000000000000000000000  -0.8868265999644902  0.00727
96  1100000000010000000000001000000000000000  -1.6858171741429633  0.00722
97  1100000000100000000000000100000000000000  -1.6858171741429624  0.0072
98  1001000100000000000000001000000000000000  -1.9580517228443095  0.00702
99  0100110000000000001000000000000000000000  -2.285020480160751  0.00694
&end nodes' data



edges' data
i      j     h_ij     weight
0  1    0.04703427455071438   21.261091184084428
0  2    0.07650668201788562   13.07075373842799
0  3    0.07650668201788562   13.07075373842799
0  4    -0.04507140305061012   22.18701731732452
0  5    -0.04507140305061012   22.18701731732452
0  6    -0.03088679258514062   32.37629796760094
0  7    0.03088679258514062   32.37629796760094
0  8    0.08974845820587435   11.142252691473496
0  9    0.04320423351584967   23.145879897004665
0  10    0.07429389378669506   13.460056392670662
0  11    -0.05119792850707074   19.532040243813654
0  12    0   1000.0
0  13    -0.05119792850707074   19.532040243813654
0  14    0.03143527896727549   31.811392577142776
0  15    0.03143527896727549   31.811392577142776
0  16    -1.6832345045569852e-08   59409428.531361565
0  17    -1.6832345045569852e-08   59409428.531361565
0  18    0.03598576491872704   27.788765981728474
0  19    0.03598576491872704   27.788765981728474
0  20    0.03859649143553592   25.909090769823095
0  21    0.03859649143553592   25.909090769823095
0  22    -0.03413322456785443   29.296968354456844
0  23    0.03413322456785443   29.296968354456844
0  24    -0.04551321352340444   21.971641257231067
0  25    0.04551321352340444   21.971641257231067
0  26    -0.02925805459404681   34.17862239560766
0  27    0   1000.0
0  28    -0.02925805459404681   34.17862239560766
0  29    0   1000.0
0  30    0.0445439010582071   22.44976250942333
0  31    -0.0445439010582071   22.44976250942333
0  32    -0.015212163588343701   65.7368686704269
0  33    -0.015212163588343701   65.7368686704269
0  34    0.04324643473788823   23.12329342432243
0  35    0.04324643473788823   23.12329342432243
0  36    3.6748923987195425e-08   27211681.0916269
0  37    0.03964808471187993   25.221899298968296
0  38    3.6748923987195425e-08   27211681.0916269
0  39    3.145460510112219e-08   31791847.228256047
0  40    3.145460510112219e-08   31791847.228256047
0  41    0   1000.0
0  42    0.04184931321863351   23.89525473872645
0  43    0   1000.0
0  44    -0.03628657202147634   27.558403681894955
0  45    0.02367578499858449   42.237247891032425
0  46    -0.03628657202147634   27.558403681894955
0  47    -0.02367578499858449   42.237247891032425
0  48    0   1000.0
0  49    0.0485069905164838   20.615585286829468
0  50    0.03376296093109361   29.618255402447883
0  51    0.04810628432448167   20.78730490292912
0  52    1.3754469618820764e-08   72703639.45052901
0  53    1.3754469618820764e-08   72703639.45052901
0  54    0.03887554180648732   25.723114162054607
